Brand Number,Brand Name,Stock Market
1883,前田道,東証１部
1884,日道路,東証１部
1885,東亜建,東証１部
1887,日本国土開発,東証１部
1888,若築建,東証１部
1890,東洋建,東証１部
1892,徳倉建,名証
1893,五洋建,東証１部
1897,金下建,東証２部
1898,世紀東急,東証１部
1899,福田組,東証１部
1904,大成温調,ＪＡＳＤＡＱ
1905,テノックス,ＪＡＳＤＡＱ
1909,日本ドライ,東証１部
1911,住友林,東証１部
1914,日基礎,東証１部
1921,巴,東証１部
1925,大和ハウス,東証１部
1926,ライト工,東証１部
1928,積水ハウス,東証１部
1929,日特建,東証１部
1930,北陸電工,東証１部
1934,ユアテック,東証１部
1938,日リーテック,東証１部
1939,四電工,東証１部
1941,中電工,東証１部
1942,関電工,東証１部
1944,きんでん,東証１部
1945,東京エネシス,東証１部
1946,トーエネク,東証１部
1948,弘電社,東証２部
1949,住友電設,東証１部
1950,日本電設,東証１部
1951,協エクシオ,東証１部
1954,日工営,東証１部
1959,九電工,東証１部
1960,サンテック,東証２部
1961,三機工,東証１部
1963,日揮ＨＤ,東証１部
1964,中外炉,東証１部
1965,テクノ菱和,東証２部
1966,高田工,東証２部
1967,ヤマト,東証１部
1968,太平電,東証１部
1969,高砂熱,東証１部
1971,中央ビルト,東証２部
1972,三晃金,東証１部
1973,ＮＥＳＩＣ,東証１部
1975,朝日工,東証１部
1976,明星工,東証１部
1979,大気社,東証１部
1980,ダイダン,東証１部
1981,協和日成,ＪＡＳＤＡＱ
1982,日比谷設備,東証１部
1992,神田通機,ＪＡＳＤＡＱ
1994,高橋ウォール,ＪＡＳＤＡＱ
1997,暁飯島,ＪＡＳＤＡＱ
1999,サイタＨＤ,福証
2001,日本粉,東証１部
2002,日清粉Ｇ,東証１部
2003,日東富士,東証１部
2004,昭和産,東証１部
2009,鳥越粉,東証１部
2031,ハンセンブル,東証２部
2032,ハンセンベア,東証２部
2033,ＫＯＳＰブル,東証２部
2034,ＫＯＳＰべア,東証２部
2035,日経ＶＩ,東証２部
2036,金ブル,東証２部
2037,金ベア,東証２部
2038,原油ブル,東証２部
2039,原油ベア,東証２部
2040,ＮＹダウブル,東証２部
2041,ＮＹダウベア,東証２部
2042,マザーズＥＴ,東証２部
2043,アセアン５０,東証２部
2044,米配当貴族,東証２部
2045,シンガポール,東証２部
2046,インドブル,東証２部
2047,インドベア,東証２部
2048,株高配当７０,東証２部
2050,ニッチトップ,東証２部
2053,中部飼,東証１部
2058,ヒガシマル,福証
2060,フィードワン,東証１部
2065,日本配当貴族,東証２部
2066,東証リート,東証２部
2067,野村ＡＩ７０,東証２部
2068,高ベータ３０,東証２部
2069,低ベータ５０,東証２部
2070,ＥＳＧ女活躍,東証２部
2071,ＥＳ３０総合,東証２部
2072,トップシェア,東証２部
2107,東洋糖,東証１部
2108,甜菜糖,東証１部
2109,三井製糖,東証１部
2112,塩水糖,東証１部
2114,フジ日本,東証２部
2117,日新製糖,東証１部
2120,ＬＩＦＵＬＬ,東証１部
2121,ミクシィ,東証１部
2122,Ｉスペース,マザーズ
2124,ＪＡＣＲ,東証１部
2127,Ｍ＆Ａ,東証１部
2130,メンバーズ,東証１部
2134,サンキャピタ,ＪＡＳＤＡＱ
2136,ヒップ,ＪＡＳＤＡＱ
2137,Ｈヴェラス,札証
2138,クルーズ,ＪＡＳＤＡＱ
2139,中広,東証１部
2146,ＵＴグループ,東証１部
2148,ＩＴＭ,東証１部
2150,ケアネット,マザーズ
2151,タケエイ,東証１部
2152,幼児活動研究,ＪＡＳＤＡＱ
2153,ＥＪＨＤ,東証１部
2154,ビーネックス,東証１部
2156,セーラー広告,ＪＡＳＤＡＱ
2157,コシダカＨＤ,東証１部
2158,ＦＲＯＮＴＥ,マザーズ
2159,フルスピード,東証２部
2160,ＧＮＩ,マザーズ
2162,ｎｍｓＨＤ,ＪＡＳＤＡＱ
2163,アルトナー,東証１部
2164,地域新聞社,ＪＡＳＤＡＱ
2168,パソナ,東証１部
2169,ＣＤＳ,東証１部
2170,ＬＩＮＫ＆Ｍ,東証１部
2172,インサイト,札証
2173,博展,ＪＡＳＤＡＱ
2174,ＧＣＡ,東証１部
2175,ＳＭＳ,東証１部
2178,トライＳＴＧ,マザーズ
2179,成学社,ＪＡＳＤＡＱ
2180,サニーサイド,東証１部
2181,パーソルＨＤ,東証１部
2183,リニカル,東証１部
2185,シイエムシイ,ＪＡＳＤＡＱ
2186,ソーバル,ＪＡＳＤＡＱ
2191,テラ,ＪＡＳＤＡＱ
2193,クックパッド,東証１部
2195,アミタＨＤ,ＪＡＳＤＡＱ
2196,エスクリ,東証１部
2198,アイケイケイ,東証１部
2201,森永菓,東証１部
2204,中村屋,東証１部
2206,グリコ,東証１部
2207,名糖産,東証１部
2208,ブルボン,東証２部
2209,井村屋Ｇ,東証１部
2211,不二家,東証１部
2212,山パン,東証１部
2215,第一パン,東証１部
2216,カンロ,東証２部
2217,モロゾフ,東証１部
2218,日糧パン,札証
2220,亀田菓,東証１部
2221,岩塚製菓,ＪＡＳＤＡＱ
2222,寿スピリッツ,東証１部
2224,コモ,ＪＡＳＤＡＱ
2226,湖池屋,ＪＡＳＤＡＱ
2229,カルビー,東証１部
2264,森永乳,東証１部
2266,六甲バタ,東証１部
2267,ヤクルト,東証１部
2268,サーティワン,ＪＡＳＤＡＱ
2269,明治ＨＤ,東証１部
2270,雪印メグ,東証１部
2281,プリマ,東証１部
2282,日ハム,東証１部
2286,林兼,東証１部
2288,丸大食,東証１部
2291,福留ハム,東証２部
2292,ＳＦＯＯＤＳ,東証１部
2293,滝沢ハム,ＪＡＳＤＡＱ
2294,柿安本店,東証１部
2296,伊藤ハム米久,東証１部
2300,きょくと,ＪＡＳＤＡＱ
2301,学情,東証１部
2303,ドーン,ＪＡＳＤＡＱ
2304,ＣＳＳＨＤ,ＪＡＳＤＡＱ
2307,Ｃキャット,東証１部
2309,シミックＨＤ,東証１部
2311,エプコ,東証１部
2315,ＣＡＩＣＡ,ＪＡＳＤＡＱ
2317,システナ,東証１部
2321,ソフトフロン,ＪＡＳＤＡＱ
2323,ｆｏｎｆｕｎ,ＪＡＳＤＡＱ
2325,ＮＪＳ,東証１部
2326,デジアーツ,東証１部
2327,ＮＳＳＯＬ,東証１部
2329,東北新社,ＪＡＳＤＡＱ
2330,フォーサイド,ＪＡＳＤＡＱ
2331,ＡＬＳＯＫ,東証１部
2332,クエスト,ＪＡＳＤＡＱ
2334,イオレ,マザーズ
2335,キューブシス,東証１部
2337,いちご,東証１部
2338,ビットワンＧ,東証２部
2340,極楽湯ＨＤ,ＪＡＳＤＡＱ
2341,アルバイトＴ,ＪＡＳＤＡＱ
2342,トランスＧ,マザーズ
2344,平安レイ,ＪＡＳＤＡＱ
2345,クシム,東証２部
2349,ＮＩＤ,ＪＡＳＤＡＱ
2351,ＡＳＪ,マザーズ
2352,エイジア,東証１部
2353,日駐,東証１部
2354,ＹＥＤＩＧＩ,東証２部
2359,コア,東証１部
2362,夢真ＨＤ,ＪＡＳＤＡＱ
2370,ＭＤＮＴ,マザーズ
2371,カカクコム,東証１部
2372,アイロムＧ,東証１部
2373,ケア２１,ＪＡＳＤＡＱ
2374,セントケアＨ,東証１部
2375,ギグワークス,東証２部
2376,サイネックス,東証１部
2378,ルネサンス,東証１部
2379,ディップ,東証１部
2384,ＳＢＳＨＤ,東証１部
2385,総医研ＨＤ,マザーズ
2388,ウェッジＨＤ,ＪＡＳＤＡＱ
2389,デジタルＨＤ,東証１部
2391,プラネット,ＪＡＳＤＡＱ
2393,日本ケア,東証２部
2395,新日科学,東証１部
2397,ＤＮＡ研,東証２部
2398,ツクイＨＤ,東証１部
2402,アマナ,マザーズ
2406,アルテＨＤ,ＪＡＳＤＡＱ
2408,ＫＧ情報,ＪＡＳＤＡＱ
2410,キャリアデ,東証１部
2411,ゲンダイＡＧ,ＪＡＳＤＡＱ
2412,ベネ・ワン,東証１部
2413,エムスリー,東証１部
2415,ヒューマンＨ,ＪＡＳＤＡＱ
2418,ツカダＧＨ,東証１部
2424,ブラス,東証１部
2425,ケアサービス,ＪＡＳＤＡＱ
2427,アウトソシン,東証１部
2428,ウェルネット,東証１部
2429,ワールドＨＤ,東証１部
2432,ＤｅＮＡ,東証１部
2433,博報堂ＤＹ,東証１部
2435,シダー,ＪＡＳＤＡＱ
2436,共同ＰＲ,ＪＡＳＤＡＱ
2437,シンワＷＨ,ＪＡＳＤＡＱ
2438,アスカネット,マザーズ
2440,ぐるなび,東証１部
2445,タカミヤ,東証１部
2449,プラップＪ,ＪＡＳＤＡＱ
2453,ＪＢＲ,東証１部
2454,Ａアバウト,ＪＡＳＤＡＱ
2459,アウン,東証２部
2461,ファンコミ,東証１部
2462,ライク,東証１部
2464,ＢＢＴ,東証１部
2467,バルクＨＤ,名証
2468,フュトレック,東証２部
2469,ヒビノ,ＪＡＳＤＡＱ
2471,エスプール,東証１部
2475,ＷＤＢ,東証１部
2477,手間いらず,東証１部
2479,ジェイテック,ＪＡＳＤＡＱ
2480,シスロケ,ＪＡＳＤＡＱ
2481,タウンニュス,ＪＡＳＤＡＱ
2483,翻訳センター,ＪＡＳＤＡＱ
2484,出前館,ＪＡＳＤＡＱ
2485,ティア,東証１部
2487,ＣＤＧ,東証１部
2488,日本サード,ＪＡＳＤＡＱ
2489,ＡＤＷＡＹＳ,東証１部
2491,Ｖコマース,東証１部
2492,インフォＭＴ,東証１部
2493,イーサポート,ＪＡＳＤＡＱ
2497,ユナイテッド,マザーズ
2498,オリコンＨＤ,ＪＡＳＤＡＱ
2499,日本和装,東証２部
2502,アサヒ,東証１部
2503,キリンＨＤ,東証１部
2510,国内債券,東証２部
2511,外国債券,東証２部
2512,外債ヘッジ,東証２部
2513,外国株式,東証２部
2514,外株ヘッジ,東証２部
2515,外国リート,東証２部
2516,マザーズＥＴ,東証２部
2517,Ｊリートコア,東証２部
2518,女性活躍,東証２部
2519,新興債Ｈなし,東証２部
2520,新興株Ｈなし,東証２部
2521,上場米Ｈあり,東証２部
2522,ｉＳロボ,東証２部
2523,ＭＸト除金融,東証２部
2524,ＮＺＴＰＸ,東証２部
2525,ＮＺ２２５,東証２部
2526,ＮＺＪＰＸ,東証２部
2527,ＮＺＲコア,東証２部
2528,大和Ｒコア,東証２部
2529,株主還元７０,東証２部
2530,上海１８０Ａ,東証２部
2531,宝ＨＬＤ,東証１部
2533,オエノンＨＤ,東証１部
2540,養命酒,東証１部
2551,マルサンアイ,名証
2552,ＪリートＭ,東証２部
2553,南方中国Ａ株,東証２部
2554,米社債１０,東証２部
2555,東証ＲＥＩＴ,東証２部
2556,Ｏｎｅリート,東証２部
2557,ＳＤトピクス,東証２部
2558,ＭＸＳ米国株,東証２部
2559,ＭＸＳ全世界,東証２部
2560,ＭＸＳカボン,東証２部
2561,ｉＳ日本国債,東証２部
2562,上場ダウ,東証２部
2563,ｉＳ５米為あ,東証２部
2564,ＧＸスーパー,東証２部
2565,ＧＸロジＪ,東証２部
2566,上場ＥＳＧ,東証２部
2567,ＮＺカーボン,東証２部
2568,上場ＮＱ為な,東証２部
2569,上場ＮＱ為あ,東証２部
2573,北海コカ,東証２部
2579,コカコーラ,東証１部
2586,フルッタＦ,マザーズ
2587,サントリＢＦ,東証１部
2590,ＤｙＤｏ,東証１部
2593,伊藤園,東証１部
2594,キーコーヒ,東証１部
2597,ユニカフェ,東証１部
2599,ジャパンＦ,東証１部
2602,日清オイリオ,東証１部
2607,不二製油Ｇ,東証１部
2612,かどや製油,東証１部
2613,Ｊオイル,東証１部
2620,ｉＳ米債,東証２部
2621,ｉＳ米債２０,東証２部
2622,ｉＳ新興債,東証２部
2623,ｉユーロ社債,東証２部
2624,ｉ２２５年４,東証２部
2625,ｉＴＰＸ年４,東証２部
2651,ローソン,東証１部
2652,まんだらけ,東証２部
2653,イオン九州,ＪＡＳＤＡＱ
2654,アスモ,東証２部
2656,ベクター,ＪＡＳＤＡＱ
2659,サンエー,東証１部
2664,カワチ薬品,東証１部
2666,オートウェブ,ＪＡＳＤＡＱ
2667,イメージワン,ＪＡＳＤＡＱ
2668,タビオ,東証２部
2669,カネ美食品,ＪＡＳＤＡＱ
2670,ＡＢＣマート,東証１部
2673,夢みつけ隊,ＪＡＳＤＡＱ
2674,ハードオフ,東証１部
2675,ダイナックＨ,東証２部
2676,高千穂交,東証１部
2678,アスクル,東証１部
2681,ゲオＨＤ,東証１部
2683,魚喜,東証２部
2685,アダストリア,東証１部
2686,ジーフット,東証１部
2687,ＣＶＳベイ,東証１部
2689,カワニシＨＤ,東証１部
2692,伊藤忠食品,東証１部
2693,ＹＫＴ,ＪＡＳＤＡＱ
2694,Ｇテイスト,ＪＡＳＤＡＱ
2695,くら寿司,東証１部
2698,キャンドゥ,東証１部
2700,木徳神糧,ＪＡＳＤＡＱ
2702,マクドナルド,ＪＡＳＤＡＱ
2705,大戸屋ＨＤ,ＪＡＳＤＡＱ
2706,ブロッコリー,ＪＡＳＤＡＱ
2708,久世,ＪＡＳＤＡＱ
2714,プラマテルズ,ＪＡＳＤＡＱ
2721,ＪＨＤ,ＪＡＳＤＡＱ
2722,アイケイ,東証１部
2726,パルＧＨ,東証１部
2729,ＪＡＬＵＸ,東証１部
2730,エディオン,東証１部
2733,あらた,東証１部
2734,サーラ,東証１部
2735,ワッツ,東証１部
2736,フェスタリア,ＪＡＳＤＡＱ
2737,トーメンデバ,東証１部
2742,ハローズ,東証１部
2743,ピクセル,ＪＡＳＤＡＱ
2747,北雄ラッキー,ＪＡＳＤＡＱ
2749,ＪＰＨＤ,東証１部
2750,石光商事,ＪＡＳＤＡＱ
2751,テンポスＨＤ,ＪＡＳＤＡＱ
2752,フジオフード,東証１部
2753,あみやき,東証１部
2754,東葛ＨＤ,ＪＡＳＤＡＱ
2760,東エレデバ,東証１部
2761,トシンＧ,ＪＡＳＤＡＱ
2762,三光ＭＦ,東証２部
2763,エフティＧ,ＪＡＳＤＡＱ
2764,ひらまつ,東証１部
2767,フィールズ,東証１部
2768,双日,東証１部
2769,ヴィレッジＶ,ＪＡＳＤＡＱ
2773,ミュチュアル,ＪＡＳＤＡＱ
2776,新都ＨＤ,ＪＡＳＤＡＱ
2777,カッシーナ,ＪＡＳＤＡＱ
2778,パレモＨＤ,東証２部
2780,コメ兵ＨＤ,東証２部
2782,セリア,ＪＡＳＤＡＱ
2784,アルフレッサ,東証１部
2788,アップル,東証２部
2789,カルラ,ＪＡＳＤＡＱ
2790,ナフコ,ＪＡＳＤＡＱ
2791,大黒天,東証１部
2792,ハニーズＨＤ,東証１部
2795,プリメックス,ＪＡＳＤＡＱ
2796,ファマライズ,東証１部
2798,Ｙ’ｓ,東証２部
2801,キッコマン,東証１部
2802,味の素,東証１部
2804,ブルソス,東証２部
2805,ヱスビー,東証２部
2806,ユタカフーズ,東証２部
2809,キユーピ,東証１部
2810,ハウス食Ｇ,東証１部
2812,焼津水化,東証１部
2813,和弘食品,ＪＡＳＤＡＱ
2814,佐藤食品,ＪＡＳＤＡＱ
2815,アリアケ,東証１部
2816,ダイショー,東証２部
2818,ピエトロ,東証１部
2819,エバラ食品,東証１部
2820,やまみ,東証１部
2830,アヲハタ,東証２部
2831,はごろも,東証２部
2871,ニチレイ,東証１部
2872,セイヒョー,東証２部
2874,ヨコレイ,東証１部
2875,東洋水産,東証１部
2876,デルソーレ,ＪＡＳＤＡＱ
2877,日東ベスト,ＪＡＳＤＡＱ
2882,イトアンＨＤ,東証１部
2883,大冷,東証１部
2884,ヨシムラＦＨ,東証１部
